hostname;port;description
swGPD-S2;gi1/0/31;I-TEC
swLPD-2B-1;gi1/0/9;AP_LPD-2B-1-9
swGPD-S1;gi1/0/27;PC_KCZERWINSKA
swLPD-1B-1;gi1/0/33;PC_WSKOWRONSKI-M
swLPD-2B-3;gi1/0/28;PC_NBRZAKALA
swGPD-S2;gi1/0/32;PC_TCIERPIK-M
swLPD-2B-1;gi1/0/10;PC_NSTEMPIN
swGPD-S1;gi1/0/28;PC_JKOPACKI-P
swLPD-1B-1;gi1/0/35;PC_DLEKKI-M1
swLPD-2B-3;gi1/0/36;PC_KSTASIAK
swGPD-S2;gi1/0/34;PC_AOPALA-M
swLPD-2B-1;gi1/0/11;AP_LPD-2B-1-11
swGPD-S1;gi1/0/29;PC_APARZONKA
swLPD-1B-1;gi1/0/36;PC_TRZEPECKI-M
swLPD-2B-3;te1/0/1;swLPD-2B-1
swGPD-S2;gi1/0/36;PC_AUDALA-M
swLPD-2B-1;gi1/0/12;D_10.59
swGPD-S1;gi1/0/30;PC_RGORECKI-M
swLPD-1B-1;gi1/0/37;VOIP_130.14
swGPD-S2;gi1/0/38;KD_255.22
swLPD-2B-2;gi1/0/1;KD_255.25
swLPD-2B-1;gi1/0/13;PC_OCZAJKOWSKA
swGPD-S1;gi1/0/32;PC_MPYTA-M
swLPD-1B-1;gi1/0/38;PC_APAWLICKA
swGPD-S2;gi1/0/39;PC_3KOMPY?
swLPD-2B-2;gi1/0/2;PC_ASKLADNIKIEWICZ
swLPD-2B-1;gi1/0/14;D_10.64
swGPD-S1;gi1/0/33;PC_DPILOK
swLPD-1B-1;gi1/0/39;BMS
swGPD-S2;gi1/0/40;KD_255.24
swLPD-2B-2;gi1/0/3;KD_255.27
swLPD-2B-1;gi1/0/15;PC_MSTEC
swGPD-S1;gi1/0/34;PC_DMALOLEPSZA
swLPD-1B-1;gi1/0/40;D_10.20
swLPD-2B-2;gi1/0/4;D_10.56
swGPD-S2;gi1/0/41;VOIP_130.18
swLPD-2B-1;gi1/0/16;D_10.12
swGPD-S1;gi1/0/35;PC_MOPAS
swLPD-1B-1;gi1/0/42;PC_JDREWNIAK-M
swLPD-2B-2;gi1/0/5;KD_255.26
swGPD-S2;gi1/0/42;KD_255.23
swLPD-2B-1;gi1/0/17;VOIP_130.24
swGPD-S1;gi1/0/36;PC_AWOZNIAK
swLPD-1B-1;gi1/0/43;KD_255.17
swGPD-S2;gi1/0/43;SLICAN_NCP
swLPD-2B-2;gi1/0/6;VOIP_130.22
swLPD-2B-1;gi1/0/18;D_10.52
swGPD-S1;gi1/0/37;PC_PGRABAREK
swLPD-1B-1;gi1/0/44;KD_255.16
swGPD-S2;gi1/0/44;PC_PKARPINSKI-M
swLPD-2B-2;gi1/0/7;PC_ASZKUDLAREK
swLPD-2B-1;gi1/0/19;PC_MNOWAK
swGPD-S1;gi1/0/38;D_10.6
swLPD-1B-1;gi1/0/45;KD_255.19
swGPD-S2;gi1/0/45;SIPTRUNK
swLPD-2B-2;gi1/0/8;D_10.33
swGPD-S1;gi1/0/39;UNIFI_KONTROLER
swLPD-2B-1;gi1/0/20;PC_RKOREPTA
swGPD-S2;gi1/0/46;UPS
swLPD-1B-1;gi1/0/46;KD_255.18
